tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2016-12-01,DKI1 (Bunderan HI),55,31,32,10,3,55,PM10,SEDANG
2016-12-02,DKI1 (Bunderan HI),28,31,17,10,1,31,SO2,BAIK
2016-12-03,DKI1 (Bunderan HI),24,31,17,10,1,31,SO2,BAIK
2016-12-04,DKI1 (Bunderan HI),38,31,17,7,1,38,PM10,BAIK
2016-12-05,DKI1 (Bunderan HI),23,31,16,11,1,31,SO2,BAIK
2016-12-06,DKI1 (Bunderan HI),28,31,19,12,1,31,SO2,BAIK
2016-12-07,DKI1 (Bunderan HI),39,31,20,16,2,39,PM10,BAIK
2016-12-08,DKI1 (Bunderan HI),58,32,24,21,3,58,PM10,SEDANG
2016-12-09,DKI1 (Bunderan HI),35,31,22,15,2,35,PM10,BAIK
2016-12-10,DKI1 (Bunderan HI),27,31,18,12,2,31,SO2,BAIK
2016-12-11,DKI1 (Bunderan HI),33,31,17,17,1,33,PM10,BAIK
2016-12-12,DKI1 (Bunderan HI),31,31,18,20,1,31,PM10,BAIK
2016-12-13,DKI1 (Bunderan HI),34,32,17,14,2,34,PM10,BAIK
2016-12-14,DKI1 (Bunderan HI),39,32,21,15,2,39,PM10,BAIK
2016-12-15,DKI1 (Bunderan HI),44,31,25,10,2,44,PM10,BAIK
2016-12-16,DKI1 (Bunderan HI),34,31,18,11,2,34,PM10,BAIK
2016-12-17,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2016-12-18,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2016-12-19,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2016-12-20,DKI1 (Bunderan HI),21,31,18,14,1,31,SO2,BAIK
2016-12-21,DKI1 (Bunderan HI),20,32,15,14,1,32,SO2,BAIK
2016-12-22,DKI1 (Bunderan HI),23,32,16,12,1,32,SO2,BAIK
2016-12-23,DKI1 (Bunderan HI),19,31,16,12,1,31,SO2,BAIK
2016-12-24,DKI1 (Bunderan HI),21,31,16,13,1,31,SO2,BAIK
2016-12-25,DKI1 (Bunderan HI),17,31,15,11,1,31,SO2,BAIK
2016-12-26,DKI1 (Bunderan HI),49,32,23,23,2,49,PM10,BAIK
2016-12-27,DKI1 (Bunderan HI),23,31,18,19,3,31,SO2,BAIK
2016-12-28,DKI1 (Bunderan HI),28,32,18,10,1,32,SO2,BAIK
2016-12-29,DKI1 (Bunderan HI),20,32,19,11,1,32,SO2,BAIK
2016-12-30,DKI1 (Bunderan HI),51,32,24,12,2,51,PM10,SEDANG
2016-12-31,DKI1 (Bunderan HI),55,33,26,16,3,55,PM10,SEDANG
01/12/2016,DKI2 (Kelapa Gading),52,25,35,38,16,52,PM10,SEDANG
02/12/2016,DKI2 (Kelapa Gading),23,22,17,43,5,43,O3,BAIK
03/12/2016,DKI2 (Kelapa Gading),22,22,21,34,8,34,O3,BAIK
04/12/2016,DKI2 (Kelapa Gading),30,22,19,35,5,35,O3,BAIK
05/12/2016,DKI2 (Kelapa Gading),16,22,19,36,6,36,O3,BAIK
06/12/2016,DKI2 (Kelapa Gading),25,23,19,33,7,33,O3,BAIK
07/12/2016,DKI2 (Kelapa Gading),32,24,19,56,7,56,O3,SEDANG
12/12/2016,DKI2 (Kelapa Gading),50,---,---,---,---,50,PM10,BAIK
09/12/2016,DKI2 (Kelapa Gading),31,15,21,54,10,54,O3,SEDANG
10/12/2016,DKI2 (Kelapa Gading),29,15,17,36,14,36,O3,BAIK
11/12/2016,DKI2 (Kelapa Gading),26,14,9,39,8,39,O3,BAIK
12/12/2016,DKI2 (Kelapa Gading),28,17,15,54,9,54,O3,SEDANG
13/12/2016,DKI2 (Kelapa Gading),31,16,12,46,16,46,O3,BAIK
14/12/2016,DKI2 (Kelapa Gading),38,15,8,53,20,53,O3,SEDANG
15/12/2016,DKI2 (Kelapa Gading),33,15,22,33,12,33,PM10,BAIK
16/12/2016,DKI2 (Kelapa Gading),27,17,9,39,8,39,O3,BAIK
17/12/2016,DKI2 (Kelapa Gading),31,16,7,40,11,40,O3,BAIK
18/12/2016,DKI2 (Kelapa Gading),29,16,16,48,13,48,O3,BAIK
19/12/2016,DKI2 (Kelapa Gading),28,17,7,37,12,37,O3,BAIK
20/12/2016,DKI2 (Kelapa Gading),22,15,5,34,4,34,O3,BAIK
21/12/2016,DKI2 (Kelapa Gading),23,15,5,37,5,37,O3,BAIK
22/12/2016,DKI2 (Kelapa Gading),22,16,6,34,5,34,O3,BAIK
23/12/2016,DKI2 (Kelapa Gading),22,16,4,32,5,32,O3,BAIK
24/12/2016,DKI2 (Kelapa Gading),20,16,4,39,4,39,O3,BAIK
25/12/2016,DKI2 (Kelapa Gading),17,16,4,42,5,42,O3,BAIK
26/12/2016,DKI2 (Kelapa Gading),38,17,10,62,21,62,O3,SEDANG
27/12/2016,DKI2 (Kelapa Gading),26,16,6,51,17,51,O3,SEDANG
28/12/2016,DKI2 (Kelapa Gading),28,18,5,41,6,41,O3,BAIK
29/12/2016,DKI2 (Kelapa Gading),21,17,6,39,7,39,O3,BAIK
30/12/2016,DKI2 (Kelapa Gading),39,18,6,38,12,39,PM10,BAIK
31/12/2016,DKI2 (Kelapa Gading),45,19,13,59,14,59,O3,SEDANG
01/12/2016,DKI3 (Jagakarsa),57,30,11,64,6,64,O3,SEDANG
02/12/2016,DKI3 (Jagakarsa),38,28,8,35,4,38,PM10,BAIK
03/12/2016,DKI3 (Jagakarsa),22,28,8,31,4,31,O3,BAIK
04/12/2016,DKI3 (Jagakarsa),32,28,7,28,3,32,PM10,BAIK
05/12/2016,DKI3 (Jagakarsa),12,28,6,29,3,29,O3,BAIK
06/12/2016,DKI3 (Jagakarsa),27,29,8,42,4,42,O3,BAIK
07/12/2016,DKI3 (Jagakarsa),54,29,9,45,4,54,PM10,SEDANG
12/12/2016,DKI3 (Jagakarsa),55,29,18,74,5,74,O3,SEDANG
09/12/2016,DKI3 (Jagakarsa),55,29,10,30,5,55,PM10,SEDANG
10/12/2016,DKI3 (Jagakarsa),41,28,13,30,4,41,PM10,BAIK
11/12/2016,DKI3 (Jagakarsa),35,29,10,50,4,50,O3,BAIK
12/12/2016,DKI3 (Jagakarsa),21,28,11,37,5,37,O3,BAIK
13/12/2016,DKI3 (Jagakarsa),41,29,11,35,5,41,PM10,BAIK
14/12/2016,DKI3 (Jagakarsa),39,28,8,31,3,39,PM10,BAIK
15/12/2016,DKI3 (Jagakarsa),41,28,18,29,5,41,PM10,BAIK
16/12/2016,DKI3 (Jagakarsa),33,28,10,29,3,33,PM10,BAIK
17/12/2016,DKI3 (Jagakarsa),33,30,5,36,2,36,O3,BAIK
18/12/2016,DKI3 (Jagakarsa),28,29,8,35,4,35,O3,BAIK
19/12/2016,DKI3 (Jagakarsa),19,29,4,30,2,30,O3,BAIK
20/12/2016,DKI3 (Jagakarsa),22,28,4,29,---,29,O3,BAIK
21/12/2016,DKI3 (Jagakarsa),18,---,---,---,---,18,PM10,BAIK
22/12/2016,DKI3 (Jagakarsa),28,28,3,31,1,31,O3,BAIK
23/12/2016,DKI3 (Jagakarsa),19,29,3,34,1,34,O3,BAIK
24/12/2016,DKI3 (Jagakarsa),21,29,3,23,1,29,SO2,BAIK
25/12/2016,DKI3 (Jagakarsa),23,29,4,26,2,29,SO2,BAIK
26/12/2016,DKI3 (Jagakarsa),52,31,10,43,3,52,PM10,SEDANG
27/12/2016,DKI3 (Jagakarsa),25,29,4,41,2,41,O3,BAIK
28/12/2016,DKI3 (Jagakarsa),28,29,4,25,1,29,SO2,BAIK
29/12/2016,DKI3 (Jagakarsa),30,29,7,41,3,41,O3,BAIK
30/12/2016,DKI3 (Jagakarsa),66,31,17,41,7,66,PM10,SEDANG
31/12/2016,DKI3 (Jagakarsa),55,29,13,30,4,55,PM10,SEDANG
01/12/2016,DKI4 (Lubang Buaya),65,25,23,28,14,65,PM10,SEDANG
02/12/2016,DKI4 (Lubang Buaya),43,25,13,25,5,43,PM10,BAIK
03/12/2016,DKI4 (Lubang Buaya),25,24,15,22,6,25,PM10,BAIK
04/12/2016,DKI4 (Lubang Buaya),35,24,13,15,5,35,PM10,BAIK
05/12/2016,DKI4 (Lubang Buaya),21,24,7,19,4,24,SO2,BAIK
06/12/2016,DKI4 (Lubang Buaya),29,24,9,23,5,29,PM10,BAIK
07/12/2016,DKI4 (Lubang Buaya),38,24,11,38,7,38,PM10,BAIK
12/12/2016,DKI4 (Lubang Buaya),61,25,22,70,8,70,O3,SEDANG
09/12/2016,DKI4 (Lubang Buaya),33,24,12,28,7,33,PM10,BAIK
10/12/2016,DKI4 (Lubang Buaya),48,25,15,21,7,48,PM10,BAIK
11/12/2016,DKI4 (Lubang Buaya),33,24,10,38,4,38,O3,BAIK
12/12/2016,DKI4 (Lubang Buaya),32,24,19,31,7,32,PM10,BAIK
13/12/2016,DKI4 (Lubang Buaya),47,25,11,20,8,47,PM10,BAIK
14/12/2016,DKI4 (Lubang Buaya),36,25,8,26,5,36,PM10,BAIK
15/12/2016,DKI4 (Lubang Buaya),45,25,33,14,7,45,PM10,BAIK
16/12/2016,DKI4 (Lubang Buaya),33,25,12,30,5,33,PM10,BAIK
17/12/2016,DKI4 (Lubang Buaya),34,25,7,33,6,34,PM10,BAIK
18/12/2016,DKI4 (Lubang Buaya),33,25,19,24,9,33,PM10,BAIK
19/12/2016,DKI4 (Lubang Buaya),23,25,6,26,6,26,O3,BAIK
20/12/2016,DKI4 (Lubang Buaya),22,25,5,17,3,25,SO2,BAIK
21/12/2016,DKI4 (Lubang Buaya),22,25,4,17,3,25,SO2,BAIK
22/12/2016,DKI4 (Lubang Buaya),25,25,4,16,3,25,PM10,BAIK
23/12/2016,DKI4 (Lubang Buaya),22,25,4,15,3,25,SO2,BAIK
24/12/2016,DKI4 (Lubang Buaya),25,25,4,16,2,25,PM10,BAIK
25/12/2016,DKI4 (Lubang Buaya),30,25,5,20,2,30,PM10,BAIK
26/12/2016,DKI4 (Lubang Buaya),52,26,14,47,5,52,PM10,SEDANG
27/12/2016,DKI4 (Lubang Buaya),29,26,5,40,5,40,O3,BAIK
28/12/2016,DKI4 (Lubang Buaya),30,26,5,23,3,30,PM10,BAIK
29/12/2016,DKI4 (Lubang Buaya),37,26,12,31,4,37,PM10,BAIK
30/12/2016,DKI4 (Lubang Buaya),58,26,19,29,7,58,PM10,SEDANG
31/12/2016,DKI4 (Lubang Buaya),54,26,24,28,7,54,PM10,SEDANG
01/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,12,36,40,---,40,O3,BAIK
02/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,9,25,17,---,25,CO,BAIK
03/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,9,29,15,---,29,CO,BAIK
04/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,9,28,14,---,28,CO,BAIK
05/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,9,26,16,---,26,CO,BAIK
06/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,10,28,34,---,34,O3,BAIK
07/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,11,28,42,1,42,O3,BAIK
12/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,14,35,71,4,71,O3,SEDANG
09/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,20,10,28,24,3,28,CO,BAIK
10/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,9,25,20,3,25,CO,BAIK
11/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,9,27,27,5,27,CO,BAIK
12/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,10,33,37,6,37,O3,BAIK
13/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,8,9,28,28,5,28,CO,BAIK
14/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,16,11,27,38,7,38,O3,BAIK
15/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,---,53,17,5,53,CO,SEDANG
16/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,---,29,38,5,38,O3,BAIK
17/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,---,25,35,5,35,O3,BAIK
18/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,---,45,34,5,45,CO,BAIK
19/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,13,---,25,32,4,32,O3,BAIK
20/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,11,---,22,19,3,22,CO,BAIK
21/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,7,---,23,19,2,23,CO,BAIK
22/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,6,---,24,21,1,24,CO,BAIK
23/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,16,28,18,2,28,CO,BAIK
24/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,16,29,23,1,29,CO,BAIK
25/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,15,16,29,24,1,29,CO,BAIK
26/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,18,39,66,5,66,O3,SEDANG
27/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,---,17,34,54,3,54,O3,SEDANG
28/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,11,18,30,20,2,30,CO,BAIK
29/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,11,17,33,28,4,33,CO,BAIK
30/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,8,17,40,31,4,40,CO,BAIK
31/12/2016,DKI5 (Kebon Jeruk) Jakarta Barat,24,18,44,44,4,44,CO,BAIK
